variant,revenue_month,signal_date,delay_trading_days,exec_date,exit_date,holding_days,market,stock_id,stock_name,industry,sur_3m,pre_ret_20d,avg_turnover_20d,margin_balance_pct_chg_5d,margin_deleveraging_intensity,no_new_10d_low,abnormal_turnover,entry_open,entry_close,exit_close,possible_limit_up_nonfill,gross_return,net_return
frr1_basic_deleveraging,2025-05,2025-06-11,1,2025-06-12,2025-06-26,10,otc,5439,高技,電子零組件業,1.3838428363120008,0.2197802197802199,2841969675.0,0.0,0.04675586246583226,True,1.6287486007962249,222.0,211.0,223.0,False,0.0045045045045044585,-0.005495495495495542
frr1_basic_deleveraging,2025-05,2025-06-11,1,2025-06-12,2025-07-03,15,otc,5439,高技,電子零組件業,1.3838428363120008,0.2197802197802199,2841969675.0,0.0,0.04675586246583226,True,1.6287486007962249,222.0,211.0,241.0,False,0.0855855855855856,0.0755855855855856
frr1_basic_deleveraging,2025-05,2025-06-11,1,2025-06-12,2025-07-10,20,otc,5439,高技,電子零組件業,1.3838428363120008,0.2197802197802199,2841969675.0,0.0,0.04675586246583226,True,1.6287486007962249,222.0,211.0,240.0,False,0.08108108108108114,0.07108108108108115
frr1_basic_deleveraging,2025-05,2025-06-11,2,2025-06-13,2025-06-27,10,otc,5439,高技,電子零組件業,1.3838428363120008,0.2197802197802199,2841969675.0,0.0,0.04675586246583226,True,1.6287486007962249,208.0,206.0,240.0,False,0.15384615384615374,0.14384615384615373
frr1_basic_deleveraging,2025-05,2025-06-11,2,2025-06-13,2025-07-04,15,otc,5439,高技,電子零組件業,1.3838428363120008,0.2197802197802199,2841969675.0,0.0,0.04675586246583226,True,1.6287486007962249,208.0,206.0,243.0,False,0.16826923076923084,0.15826923076923083
frr1_basic_deleveraging,2025-05,2025-06-11,2,2025-06-13,2025-07-11,20,otc,5439,高技,電子零組件業,1.3838428363120008,0.2197802197802199,2841969675.0,0.0,0.04675586246583226,True,1.6287486007962249,208.0,206.0,236.0,False,0.13461538461538458,0.12461538461538459
frr1_basic_deleveraging,2025-05,2025-06-11,3,2025-06-16,2025-06-30,10,otc,5439,高技,電子零組件業,1.3838428363120008,0.2197802197802199,2841969675.0,0.0,0.04675586246583226,True,1.6287486007962249,205.0,207.0,238.5,False,0.1634146341463414,0.15341463414634138
frr1_basic_deleveraging,2025-05,2025-06-11,3,2025-06-16,2025-07-07,15,otc,5439,高技,電子零組件業,1.3838428363120008,0.2197802197802199,2841969675.0,0.0,0.04675586246583226,True,1.6287486007962249,205.0,207.0,229.0,False,0.11707317073170742,0.10707317073170743
frr1_basic_deleveraging,2025-05,2025-06-11,3,2025-06-16,2025-07-14,20,otc,5439,高技,電子零組件業,1.3838428363120008,0.2197802197802199,2841969675.0,0.0,0.04675586246583226,True,1.6287486007962249,205.0,207.0,228.0,False,0.11219512195121961,0.10219512195121962
frr1_basic_deleveraging,2025-06,2025-07-11,1,2025-07-14,2025-07-28,10,otc,4721,美琪瑪,化學工業,1.8898415474475747,0.17999999999999994,98751875.0,0.0,0.1487644982349975,True,2.6555324211158817,71.5,70.6,84.8,False,0.186013986013986,0.176013986013986
frr1_basic_deleveraging,2025-06,2025-07-11,1,2025-07-14,2025-08-04,15,otc,4721,美琪瑪,化學工業,1.8898415474475747,0.17999999999999994,98751875.0,0.0,0.1487644982349975,True,2.6555324211158817,71.5,70.6,82.8,False,0.15804195804195809,0.14804195804195808
frr1_basic_deleveraging,2025-06,2025-07-11,1,2025-07-14,2025-08-11,20,otc,4721,美琪瑪,化學工業,1.8898415474475747,0.17999999999999994,98751875.0,0.0,0.1487644982349975,True,2.6555324211158817,71.5,70.6,80.0,False,0.11888111888111896,0.10888111888111897
frr1_basic_deleveraging,2025-06,2025-07-11,2,2025-07-15,2025-07-29,10,otc,4721,美琪瑪,化學工業,1.8898415474475747,0.17999999999999994,98751875.0,0.0,0.1487644982349975,True,2.6555324211158817,71.0,70.5,82.7,False,0.1647887323943662,0.1547887323943662
frr1_basic_deleveraging,2025-06,2025-07-11,2,2025-07-15,2025-08-05,15,otc,4721,美琪瑪,化學工業,1.8898415474475747,0.17999999999999994,98751875.0,0.0,0.1487644982349975,True,2.6555324211158817,71.0,70.5,82.7,False,0.1647887323943662,0.1547887323943662
frr1_basic_deleveraging,2025-06,2025-07-11,2,2025-07-15,2025-08-12,20,otc,4721,美琪瑪,化學工業,1.8898415474475747,0.17999999999999994,98751875.0,0.0,0.1487644982349975,True,2.6555324211158817,71.0,70.5,80.4,False,0.13239436619718314,0.12239436619718315
