variant,delay_trading_days,holding_days,year,months,total_return,sharpe,mdd
frr2_no_catch_falling_knife,1,20,2024,10,0.15882190088084802,0.7638813644043772,-0.1631099563663344
frr2_no_catch_falling_knife,1,20,2025,11,0.6426757095501754,1.205466563807287,-0.16556655240670115
frr2_no_catch_falling_knife,2,10,2024,10,0.07534636584558085,0.44828722200879423,-0.20749829720965662
frr2_no_catch_falling_knife,2,10,2025,11,0.3259499686211522,1.1778623054656285,-0.15131606119846142
frr2_no_catch_falling_knife,2,15,2024,10,-0.21343911590807618,-1.0434518032412345,-0.2994600128443953
frr2_no_catch_falling_knife,2,15,2025,11,0.2211941447206176,0.6525622255458965,-0.21599449540287596
frr2_no_catch_falling_knife,2,20,2024,10,0.043151636344301414,0.2959062918996317,-0.21789732072406298
frr2_no_catch_falling_knife,2,20,2025,11,0.8691227064897615,1.3650880334524995,-0.18993421779581743
frr2_no_catch_falling_knife,3,10,2024,10,0.38274602429962856,1.488016753161494,-0.10614980447698374
frr2_no_catch_falling_knife,3,10,2025,11,0.2924007188506772,1.0673097006024204,-0.15181966262456692
frr2_no_catch_falling_knife,3,15,2024,10,-0.0769547087627791,-0.203271359486922,-0.2554679898531468
frr2_no_catch_falling_knife,3,15,2025,11,0.13358401582521662,0.5022744410163054,-0.1682781580817716
frr2_no_catch_falling_knife,3,20,2024,10,0.25597596717310567,0.8154723919413028,-0.17747551862852917
frr2_no_catch_falling_knife,3,20,2025,11,0.8515726468068752,1.5451468300690783,-0.11735420641155114
frr3_volume_absorption,1,10,2024,10,0.04985526704946608,0.5355551192863014,-0.07779580738696146
frr3_volume_absorption,1,10,2025,11,-0.018035340873779226,0.04712713436905675,-0.22939743045483285
frr3_volume_absorption,1,15,2024,10,0.2740332058146513,1.6772205106497338,-0.05149377593360982
frr3_volume_absorption,1,15,2025,11,0.10330407640897943,0.45226865365961705,-0.31452466084136177
frr3_volume_absorption,1,20,2024,10,0.573380353010956,2.243989757206882,0.0
frr3_volume_absorption,1,20,2025,11,0.7737646505310698,1.345240304947896,-0.16556655240670115
frr3_volume_absorption,2,10,2024,10,-0.006140524744183695,-0.015673470313296894,-0.10427742855431132
frr3_volume_absorption,2,10,2025,11,0.10681403153105107,0.5156773766118969,-0.18563613316343552
frr3_volume_absorption,2,15,2024,10,0.25389880159540956,1.196112070718129,-0.0866129032258065
